datetime,meas AH:Cmp 1 (g/m3),meas AH:Cmp 2 (g/m3),meas AH:Cmp 3 (g/m3),meas CO2:Cmp 1 (ppm),meas CO2:Cmp 3 (ppm),meas RH:Cmp 1 (%),meas RH:Cmp 2 (%),meas RH:Cmp 3 (%),meas grh temp:Cmp 1 (°C),meas grh temp:Cmp 2 (°C),meas grh temp:Cmp 3 (°C),meas outside temp:WEATHER (°C),meas radiation:WEATHER RAD SENS (W/m²),radiation sum:WEATHER RAD SENS (J/cm²)
2021-09-27 00:00:00,14,13.88,14.6,441.83,540,91,89.83,98,17.92,18.1,17.5,16,0,1483
2021-09-27 00:05:00,14,13.9,14.6,442.83,541,91.83,90,98,17.9,18.18,17.5,16,0,1483
2021-09-27 00:10:00,14,13.9,14.6,444.67,545.17,92,90,98,17.9,18.2,17.42,15.75,0,1483
2021-09-27 00:15:00,14,13.98,14.6,452.5,551,92,90,98,17.82,18.2,17.4,15.62,0,1483
2021-09-27 00:20:00,14,14,14.6,454,552,92,90,98,17.88,18.2,17.4,15.6,0,1483
2021-09-27 00:25:00,14,14,14.6,455.67,556.17,92,90,98,17.9,18.2,17.4,15.6,0,1483
2021-09-27 00:30:00,14.08,14,14.52,458.5,557,92,90,98,17.9,18.2,17.4,15.52,0,1483
2021-09-27 00:35:00,14.1,14,14.5,459,562,92,90,98,17.98,18.28,17.4,15.33,0,1483
2021-09-27 00:40:00,14.1,14.08,14.42,458.17,563,92,90,98,17.92,18.3,17.4,15.38,0,1483
2021-09-27 00:45:00,14.1,14.1,14.4,463,567.17,92,90,97.17,17.9,18.3,17.4,15.32,0,1483
2021-09-27 00:50:00,14.1,14.02,14.4,469,568,92,90,97.83,17.98,18.3,17.32,15.13,0,1483
2021-09-27 00:55:00,14.1,14.08,14.4,468.33,572.17,92,90,98,18,18.3,17.3,15.02,0,1483
2021-09-27 01:00:00,14.1,14.1,14.4,474.67,578,92,90,98,18,18.3,17.22,15.08,0,1483
2021-09-27 01:05:00,14.1,14.1,14.32,478.5,574,92,90,98,17.92,18.22,17.28,14.85,0,1483
2021-09-27 01:10:00,14.1,14.1,14.3,479.83,578,92,90,98,17.98,18.2,17.13,14.88,0,1483
2021-09-27 01:15:00,14.1,14.02,14.3,480,579,92,90,98,17.92,18.2,17.18,14.82,0,1483
2021-09-27 01:20:00,14.1,14,14.3,483.33,583.17,92,90,98,17.9,18.2,17.12,14.97,0,1483
2021-09-27 01:25:00,14.1,14.08,14.3,489,584,92.83,90,98,17.9,18.2,17.1,14.83,0,1483
2021-09-27 01:30:00,14.1,14.1,14.22,490,589,92.17,90,98,17.9,18.2,17.02,14.97,0,1483
2021-09-27 01:35:00,14.1,14.1,14.2,488.33,590,92,90,98,17.9,18.2,17,15.17,0,1483
2021-09-27 01:40:00,14.1,14.1,14.2,492.17,594.17,92,90,98,17.9,18.2,16.92,15.03,0,1483
2021-09-27 01:45:00,14.02,14.02,14.12,498,599.17,92,90,98,17.9,18.2,16.9,14.75,0,1483
2021-09-27 01:50:00,14,14,14.1,496.5,595.83,92,90,98.83,17.9,18.12,16.82,14.62,0,1483
2021-09-27 01:55:00,14,13.92,14.1,496.83,599.17,92,90,98.17,17.9,18.1,16.8,14.6,0,1483
2021-09-27 02:00:00,14,13.9,14.1,502,600,92,90,98,17.9,18.1,16.88,14.77,0,1483
2021-09-27 02:05:00,14,13.98,14.1,507.17,605,92,90,98,17.82,18.1,16.82,14.8,0,1483
2021-09-27 02:10:00,14,14,14.1,508,606,92,90.83,98,17.8,18.1,16.88,14.88,0,1483
2021-09-27 02:15:00,14,14,14.1,509.67,610.17,92,90.17,98,17.8,18.1,16.9,14.82,0,1483
2021-09-27 02:20:00,14,14,14.1,513.33,611,92,90,98.83,17.8,18.1,16.82,14.88,0,1483
2021-09-27 02:25:00,14,14,14.1,513.17,616,92,90,98.17,17.8,18.18,16.88,14.82,0,1483
2021-09-27 02:30:00,14.08,14.08,14.1,517.17,621.17,92,90.83,98,17.88,18.2,16.9,14.8,0,1483
2021-09-27 02:35:00,14.1,14.1,14.18,522.17,622,92,91,98,17.9,18.2,16.98,14.88,0,1483
2021-09-27 02:40:00,14.1,14.1,14.2,518.83,626.17,92,91,98,17.9,18.2,17,14.9,0,1483
2021-09-27 02:45:00,14.1,14.18,14.2,527.17,627,92,91,98,17.9,18.28,16.92,14.9,0,1483
2021-09-27 02:50:00,14.18,14.2,14.2,519.83,627,92,91,98,17.98,18.3,17.07,14.82,0,1483
2021-09-27 02:55:00,14.2,14.2,14.2,524.67,632,92,91,98,18,18.3,17.02,14.72,0,1483
2021-09-27 03:00:00,14.2,14.2,14.2,530.17,635.5,92,91,98,18,18.3,17,14.78,0,1483
2021-09-27 03:05:00,14.2,14.2,14.2,532.67,637.67,92.83,91,98,18,18.3,17,14.72,0,1483
2021-09-27 03:10:00,14.2,14.2,14.2,537.17,638,93,91,98,17.92,18.3,17,14.7,0,1483
2021-09-27 03:15:00,14.12,14.2,14.12,537.17,638,93,91,98,17.82,18.3,17,14.62,0,1483
2021-09-27 03:20:00,14.1,14.2,14.1,543.67,642.17,93,91,98,17.8,18.22,16.92,14.6,0,1483
2021-09-27 03:25:00,14.1,14.12,14.1,541.67,643,92.17,91,98,17.88,18.2,16.82,14.52,0,1483
2021-09-27 03:30:00,14.1,14.1,14.1,545.17,648,92,91,98,17.9,18.2,16.8,14.58,0,1483
2021-09-27 03:35:00,14.1,14.1,14.1,551,653.17,92,91,98,17.9,18.2,16.88,14.6,0,1483
2021-09-27 03:40:00,14.1,14.18,14.1,547.83,654,92,91,98,17.9,18.2,16.9,14.52,0,1483
2021-09-27 03:45:00,14.1,14.2,14.18,554.5,654,92.83,91,98,17.82,18.2,16.98,14.58,0,1483
2021-09-27 03:50:00,14.1,14.2,14.2,554.33,657.33,93,91,98,17.88,18.2,17,14.68,0,1483
2021-09-27 03:55:00,14.18,14.2,14.12,552.33,663,93,91,98,17.9,18.28,17,14.78,0,1483
2021-09-27 04:00:00,14.2,14.28,14.18,556.17,668.17,92.17,91,98,17.98,18.3,17,15.3,0.83,1483
2021-09-27 04:05:00,14.2,14.3,14.2,562,669,92.83,91.83,98,18,18.3,17,15.9,1.83,1483
2021-09-27 04:10:00,14.2,14.3,14.2,563.83,674,93,91.17,98,17.92,18.3,17,15.5,0.33,1483
2021-09-27 04:15:00,14.2,14.38,14.2,566.5,669.17,93,91.83,98.83,17.9,18.3,16.92,15.48,0,1483
2021-09-27 04:20:00,14.2,14.4,14.12,567,676.33,93,91.17,98.17,17.9,18.38,16.9,15.33,0,1483
2021-09-27 04:25:00,14.28,14.4,14.18,567,683,93,91.83,98.83,17.98,18.4,16.9,15.13,0,1483
2021-09-27 04:30:00,14.3,14.4,14.12,568.67,688.17,93,92,99,18,18.32,16.82,15.18,0,1483
2021-09-27 04:35:00,14.3,14.4,14.1,573.97,689,93,92,99,18,18.3,16.72,14.87,0,1483
2021-09-27 04:40:00,14.3,14.4,14.1,578.33,689,93,92,99,18,18.3,16.7,14.72,0,1483
2021-09-27 04:45:00,14.3,14.4,14.1,579,693.17,93,92,99,18,18.3,16.7,14.87,0,1483
2021-09-27 04:50:00,14.3,14.4,14.1,580.67,694,93,92,98.17,18,18.3,16.78,14.82,0,1483
2021-09-27 04:55:00,14.3,14.4,14.1,586.79,698.97,93,92,98.83,17.92,18.3,16.72,15.05,0,1483
2021-09-27 05:00:00,14.3,14.48,14.1,584.69,695.04,93,92,99,17.9,18.3,16.78,14.77,0,1483
2021-09-27 05:05:00,14.3,14.5,14.18,587.31,698.96,93,92,99,17.98,18.38,16.8,14.62,0,1483
2021-09-27 05:10:00,14.3,14.5,14.2,591.31,704.13,93.83,92,99,18,18.32,16.88,14.68,0,1483
2021-09-27 05:15:00,14.38,14.5,14.2,592,705,94,92,98.17,18,18.38,16.98,14.7,0,1483
2021-09-27 05:20:00,14.4,14.5,14.2,596.13,709.96,93.17,92,98.83,18.08,18.4,16.92,14.62,0,1483
2021-09-27 05:25:00,14.4,14.5,14.12,597,715.13,93,92,98.17,18.1,18.4,16.82,14.52,0,1483
2021-09-27 05:30:00,14.4,14.5,14.1,601.13,720.13,93.83,92,98.83,18.1,18.4,16.72,14.5,0,1483
2021-09-27 05:35:00,14.4,14.58,14.1,606.13,716.87,94,92,99,18.1,18.4,16.7,14.5,0,1483
2021-09-27 05:40:00,14.48,14.6,14.1,607,720.13,94,92.83,99,18.1,18.4,16.62,14.5,0,1483
2021-09-27 05:45:00,14.5,14.6,14.1,610.31,721,93.17,92.17,99,18.18,18.48,16.68,14.5,0,1483
2021-09-27 05:50:00,14.58,14.6,14.1,611,721,93.83,92.83,99,18.28,18.5,16.7,14.58,0,1483
2021-09-27 05:55:00,14.68,14.68,14.02,612.65,721,94,93,98.17,18.38,18.5,16.78,14.93,0,1483
2021-09-27 06:00:00,14.7,14.7,14.08,617.13,725.96,93.17,92.17,98,18.4,18.5,16.88,15.08,0,1483
2021-09-27 06:05:00,14.78,14.78,14.1,620.48,727.83,93,92.83,98,18.48,18.58,16.82,15.27,0,1483
2021-09-27 06:10:00,14.88,14.8,14.02,622.65,732.13,93,92.17,98,18.58,18.68,16.8,15.55,1.65,1483
2021-09-27 06:15:00,14.9,14.88,14.08,622.17,728.87,93,92.83,98.83,18.68,18.78,16.72,15.77,2,1483
2021-09-27 06:20:00,14.98,14.98,14.1,625.31,728,93,93,99,18.78,18.8,16.78,16.13,3.65,1483
2021-09-27 06:25:00,15.17,15,14.18,628.48,727.17,93,93,99,18.97,18.88,16.8,15.87,2.35,257.05
2021-09-27 06:30:00,15.2,15.08,14.2,635.61,731.13,93.83,93,99,18.92,18.9,16.8,15.8,4.48,0
2021-09-27 06:35:00,15.2,15.1,14.12,633.69,736.96,93.17,93,99,18.9,18.98,16.8,15.63,5.83,0
2021-09-27 06:40:00,15.2,15.1,14.1,633.83,742.13,93.83,93,99,18.9,19,16.72,15.43,9.31,0
2021-09-27 06:45:00,15.2,15.1,14.1,638.96,743,94,93,99,18.98,19,16.7,15.57,13.31,0
2021-09-27 06:50:00,15.28,15.18,14.1,637.52,743,94,93,98.17,19.08,19.08,16.78,15.02,16.48,0.83
2021-09-27 06:55:00,15.47,15.28,14.1,640.31,743,94,93,98.83,19.18,19.18,16.8,14.9,21.13,1
2021-09-27 07:00:00,15.5,15.38,14.18,636.04,743,94,93,99,19.28,19.28,16.8,14.82,26.96,1.83
2021-09-27 07:05:00,15.58,15.48,14.2,636.65,743,93.17,93,99,19.47,19.38,16.88,14.97,38.75,2.83
2021-09-27 07:10:00,15.77,15.58,14.28,630.39,738.87,93,92.17,99,19.58,19.57,16.98,15.66,48.44,4.65
2021-09-27 07:15:00,15.88,15.68,14.38,624.04,733.87,93,92,99,19.77,19.68,17.08,15.63,46.69,5.83
2021-09-27 07:20:00,15.98,15.87,14.48,608.95,733,93,92.83,98.17,19.88,19.87,17.35,15.93,60.05,7.65
2021-09-27 07:25:00,16.17,16.07,14.67,578.72,724.73,93,93,98.83,20.07,20.07,17.48,16.25,68.79,9.65
2021-09-27 07:30:00,16.03,16.35,14.87,553.99,718.04,92.17,93,99,20.02,20.35,17.67,16.47,71.65,11.65
2021-09-27 07:35:00,15.83,16.48,15.07,530.99,708.73,92,92.17,99,19.92,20.57,17.87,16.5,72,13.65
2021-09-27 07:40:00,15.72,16.67,15.18,521.21,702.04,91.17,92,99,19.9,20.77,18.07,16.58,69.52,15.65
2021-09-27 07:45:00,15.62,16.45,15.37,489.41,696.87,91,91.17,98.17,19.9,20.63,18.27,16.68,86.36,18.48
2021-09-27 07:50:00,15.43,15.99,15.48,458.2,686.91,90.17,90.17,98.83,19.82,20.52,18.38,16.87,103.23,21.48
2021-09-27 07:55:00,14.99,16.07,15.67,424.07,680.87,89.17,90,98.17,19.63,20.58,18.57,16.98,100.21,24.48
2021-09-27 08:00:00,14.73,16.18,15.87,401.47,666.77,88.17,89.17,98,19.52,20.77,18.85,17,104.79,27.48
2021-09-27 08:05:00,14.78,16.2,16.07,384.77,668.13,88,89,98.83,19.58,20.88,19.07,17.08,114.27,30.48
2021-09-27 08:10:00,14.88,16.2,16.27,380.35,654.95,87.17,88.17,98.17,19.68,20.98,19.27,17.18,129.23,34.31
2021-09-27 08:15:00,14.32,16.12,16.55,359.33,647.04,85.35,88,98,19.37,21,19.55,17.2,131.17,38.31
2021-09-27 08:20:00,14.45,15.77,16.77,350.87,636.91,85.83,86.35,98,19.55,21,19.85,17.37,143.4,42.31
2021-09-27 08:25:00,14.75,15.78,17.05,348.35,621.77,86,86,98,19.93,21,20.07,17.48,176.59,47.13
2021-09-27 08:30:00,15.05,15.72,17.35,343.87,599.99,86,85.17,98,20.33,21.17,20.35,17.5,186.31,52.13
2021-09-27 08:35:00,15.1,15.7,17.32,335.56,563.76,85.17,84.17,96.35,20.48,21.28,20.57,17.58,187.83,57.96
2021-09-27 08:40:00,15.02,15.7,17.05,334,530.55,84.17,84,94.35,20.5,21.38,20.68,17.52,257.44,63.96
2021-09-27 08:45:00,15.08,15.7,16.75,329.04,489.45,84,83.17,92.35,20.67,21.48,20.87,17.58,239.76,70.79
2021-09-27 08:50:00,14.85,15.29,16.62,337.09,463.81,82.35,81.35,91.17,20.7,21.5,20.9,17.85,242.92,77.79
2021-09-27 08:55:00,14.47,15.28,16.68,339,437.68,81.17,81,90.17,20.53,21.58,21.07,17.9,266.49,85.61
2021-09-27 09:00:00,14.73,15.3,16.62,331.56,410.68,81.83,80.17,89.17,20.75,21.68,21.27,18.07,296.63,94.44
2021-09-27 09:05:00,14.14,15.8,16.6,441.6,396.91,79.52,80.83,88.17,20.47,22.03,21.47,18.51,295.39,103.44
2021-09-27 09:10:00,14.17,15.16,16.85,398.04,380.95,79,78.52,89.65,20.65,21.77,21.33,18.35,321.28,112.44
2021-09-27 09:15:00,14.37,15.17,16.49,453.44,359.81,78.17,78,87.52,20.95,22.03,21.55,18.88,393.96,124.75
2021-09-27 09:20:00,15.31,14.7,16.57,396.08,365.09,78,74.69,86.17,22.07,22.27,21.85,18.67,453.47,138.57
2021-09-27 09:25:00,15.58,14.6,16.43,421.51,429.83,75.52,72.35,85.17,22.96,22.55,21.9,18.77,482.84,155.05
2021-09-27 09:30:00,15.19,14.43,16.81,431.65,412.41,74.17,71.17,84.17,22.77,22.6,22.4,18.63,518.41,168.75
2021-09-27 09:35:00,15.1,15.06,17.31,383.23,379.55,73.17,71.83,84,23.03,23.34,23,18.93,677.93,185.88
2021-09-27 09:40:00,15.18,15.2,17.48,460.63,364.91,71.35,69.52,84,23.6,24.24,23.18,18.75,544.67,203.88
2021-09-27 09:45:00,15.03,15.03,17.33,401.29,340.68,71.83,69,83.17,23.29,24.07,23.2,18.95,461.23,219.4
2021-09-27 09:50:00,15.08,14.83,17.22,419.72,511.25,72.83,69,83.83,23.12,23.67,22.95,18.83,636.17,235.23
2021-09-27 09:55:00,15.35,14.72,17.7,456.76,538.91,73,69,84,23.43,23.6,23.4,18.97,388.15,250.4
2021-09-27 10:00:00,15.23,14.7,17.47,382.81,469.21,73,69.83,83.17,23.33,23.35,23.33,19.33,657.01,265.4
2021-09-27 10:05:00,15.37,14.78,17.07,389.97,410.36,72.17,70,81.35,23.71,23.55,23.3,19.23,668.96,282.88
