datetime,meas AH 1:CMP MEAS BOX 1 (g/m3),meas AH 2:CMP MEAS BOX 2 (g/m3),meas CO2:CMP (ppm),meas HD:CMP (g/m3),meas RH:CMP (%),meas grh temp:CMP (°C),radiation sum:WEATHER RAD SENS (J/cm²),radiation:WEATHER RAD SENS (W/m²)
2021-09-27 00:00:00,14.6,14.6,436.89,0.7,95.89,17.9,1506,0
2021-09-27 00:05:00,14.69,14.6,442.36,0.61,96,17.9,1506,0
2021-09-27 00:10:00,14.61,14.6,443,0.69,96,17.9,1506,0
2021-09-27 00:15:00,14.6,14.6,443.89,0.7,96,17.9,1506,0
2021-09-27 00:20:00,14.6,14.6,449.36,0.61,96,17.81,1506,0
2021-09-27 00:25:00,14.51,14.6,450,0.6,96,17.8,1506,0
2021-09-27 00:30:00,14.5,14.6,455.36,0.6,96,17.8,1506,0
2021-09-27 00:35:00,14.5,14.51,456,0.6,96,17.71,1506,0
2021-09-27 00:40:00,14.5,14.5,456,0.6,96,17.7,1506,0
2021-09-27 00:45:00,14.5,14.5,456.89,0.6,96,17.7,1506,0
2021-09-27 00:50:00,14.5,14.5,462.36,0.6,96,17.7,1506,0
2021-09-27 00:55:00,14.5,14.5,463,0.6,96,17.61,1506,0
2021-09-27 01:00:00,14.41,14.41,468.36,0.6,96,17.6,1506,0
2021-09-27 01:05:00,14.4,14.4,474.36,0.6,96,17.6,1506,0
2021-09-27 01:10:00,14.4,14.4,469.64,0.6,96,17.6,1506,0
2021-09-27 01:15:00,14.4,14.4,474.36,0.6,96,17.6,1506,0.89
2021-09-27 01:20:00,14.49,14.49,475,0.6,96,17.69,1506,1
2021-09-27 01:25:00,14.5,14.5,481.25,0.6,96,17.7,1506,1
2021-09-27 01:30:00,14.5,14.5,482,0.6,96,17.7,1506,1
2021-09-27 01:35:00,14.5,14.5,482.89,0.6,96,17.7,1506,1
2021-09-27 01:40:00,14.41,14.5,488.36,0.6,96,17.7,1506,1
2021-09-27 01:45:00,14.4,14.5,483.64,0.51,96,17.61,1506,0.11
2021-09-27 01:50:00,14.4,14.5,488.36,0.59,96,17.6,1506,0
2021-09-27 01:55:00,14.4,14.5,489.89,0.6,96,17.6,1506,0
2021-09-27 02:00:00,14.4,14.5,490,0.6,96,17.6,1506,0
2021-09-27 02:05:00,14.49,14.5,494.46,0.6,96,17.69,1506,0
2021-09-27 02:10:00,14.5,14.5,495.89,0.6,96,17.7,1506,0
2021-09-27 02:15:00,14.59,14.59,496,0.6,96,17.79,1506,0
