time,EC급액,EC배액,pH급액,pH배액,저울급액,저울배액,온도토양,온도급액,온도배액,내부이산화탄소,내부광량,내부PT100온도센서1번건구,내부PT100온도센서2번습구,내부PT100온도센서3번,내부PT100센서를이용한계산습도
2021-11-10 18:28:37,80.273,0,9.998,10.01,9.376138,0.000092,16,16.3125,16.375,391,0,16.40922,15.76818,16.10563,95.99306
2021-11-10 18:28:49,80.29279,0,9.999,10.007,9.373927,0.000341,16,16.3125,16.375,392,0,16.40922,15.76818,16.1393,95.99306
2021-11-10 18:29:00,80.30475,0,10,10.01,9.37506,0.000929,16,16.3125,16.375,391,0,16.37535,15.80184,16.10563,96.4075
2021-11-10 18:30:09,80.4409,0,9.997,10.011,9.372601,0.000263,16,16.3125,16.375,389,0,16.37535,15.70065,16.0381,95.78552
2021-11-10 18:30:21,80.41465,0,9.995,9.99,9.370611,0.000263,15.9375,16.3125,16.375,390,0,16.37535,15.73451,16.0381,95.99328
2021-11-10 18:31:54,0.35414,0,9.103,9.133,9.371606,0.0094,15.9375,16.375,16.375,387,0,16.34169,15.70065,16.07177,95.99102
2021-11-10 18:32:16,0.35433,0,9.084,9.125,9.372352,0.004988,15.9375,16.4375,16.375,391,0,16.37535,15.76818,16.07177,96.2002
2021-11-10 18:33:02,0.35579,0,9.039,9.102,9.371412,0.014303,15.875,16.5,16.375,391,0.254748,16.34169,15.66698,16.0381,95.78445
2021-11-10 18:33:37,0.35663,0,9.01,9.076,9.373568,0.014303,15.9375,16.375,16.4375,391,0,16.27416,15.70065,16.0381,96.40475
2021-11-10 18:33:49,0.26546,0,9.081,9.081,9.370887,0.014303,15.9375,16.3125,16.4375,391,0,16.34169,15.70065,16.00423,95.99102
2021-11-10 18:34:00,0.00689,0,9.062,9.095,9.374839,0.014303,15.9375,16.1875,16.4375,393,0,16.34169,15.70065,16.00423,95.99102
2021-11-10 18:34:36,2.93698,0,8.964,9.052,9.372047,0.014303,16,15.9375,16.4375,393,0,16.34169,15.70065,16.0381,95.99102
2021-11-10 18:34:47,2.95773,0,7.99,9.05,9.37506,0.014303,16,15.9375,16.4375,391,0,16.30802,15.66698,16.07177,95.99001
2021-11-10 18:35:11,2.91699,0,7.276,9.075,9.379759,0.014303,16,16,16.4375,393,0,16.37535,15.70065,16.0381,95.78552
2021-11-10 18:35:35,2.93427,0,6.921,9.063,9.363149,0.014303,16,16.1875,16.625,395,0,16.34169,15.66698,16.00423,95.78445
2021-11-10 18:36:09,2.94183,0,6.726,9.05,9.372684,0.014303,16,16.3125,16.6875,396,0,16.34169,15.66698,16.0381,95.78445
2021-11-10 18:36:46,2.94718,0,6.606,9.044,9.37003,0.014303,16,16.375,16.75,399,0,16.34169,15.66698,16.07177,95.78445
2021-11-10 18:37:08,2.94965,0,6.549,9.04,9.368234,0.014303,16,16.375,16.75,397,0,16.34169,15.70065,16.07177,95.99102
2021-11-10 18:37:52,2.95047,0,6.457,9.032,9.325398,0.014303,16,16.4375,16.8125,397,0,16.30802,15.59945,16.07177,95.57591
2021-11-10 18:38:15,2.95378,0,6.389,9.025,9.409385,0.014303,16.75,16.4375,16.8125,399,0,16.34169,15.63332,16.0381,95.57827
2021-11-10 18:40:09,2.95724,0,6.299,8.965,9.386695,-1000,17.9375,24.5,25.9375,391,0,16.34169,15.76818,16.10563,96.40659
2021-11-10 18:40:54,2.96056,0,6.25,8.926,9.388215,-1000,17.9375,22.875,27.4375,392,0,16.30802,15.63332,16.0381,95.78338
2021-11-10 18:41:52,2.96086,0,6.219,8.936,9.400569,-1000,17.9375,21.3125,24.625,396,0,16.34169,15.56579,16.00423,95.16585
2021-11-10 18:42:05,2.96163,0,6.213,8.934,9.389071,-1000,17.9375,21.125,24.625,394,0,16.34169,15.66698,16.0381,95.78445
2021-11-10 18:42:27,1.23067,0,6.207,8.945,9.472284,-1000,17.9375,20.75,23,394,0,16.34169,15.70065,16.07177,95.99102
2021-11-10 18:42:52,1.26649,0,6.275,8.944,9.489198,-1000,17.9375,20.1875,22.375,390,0,16.34169,15.63332,16.00423,95.57827
